week,word_count,sentiment,smile_d
1,228,0.08991046831955923,0
2,455,0.08049682875264269,0
3,418,0.12592309651133177,0
4,804,0.1568278943278944,0
5,172,0.21917989417989417,0
6,692,0.10004761904761905,0
7,661,0.21736239950525665,1
8,1111,0.2214711642232651,0
9,445,0.19294608648056927,1
10,348,0.17436026936026935,0
11,764,0.15698763955342898,0
12,890,0.12747859025032943,0
13,539,0.1842712842712843,0
14,1243,0.1554121572871573,0
15,607,0.21482612781954893,0
16,678,0.1115760964624601,1
17,297,0.12890412057078726,1
18,304,0.20884439634439633,0
19,654,0.12542035872113996,0
20,796,0.16383399209486163,1
21,718,0.11612295664534472,0
22,487,0.2246875,1
23,1350,0.1816928586459836,2
24,296,0.30290404040404045,0
25,1136,0.15265367965367968,1
26,562,0.19525861661107557,1
27,685,0.20304048756641088,0
28,1676,0.17841258388877443,0
29,1284,0.2637691962195274,1
30,1612,0.18620635467226385,1
31,921,0.16698623136123134,0
32,1120,0.19604305769560004,0
33,996,0.19536808976464148,0
34,1313,0.11699449473549053,1
35,717,0.21230367288961036,0
36,1206,0.15462714620323317,0
37,1342,0.19586043060474878,0
38,295,0.16333101422387133,0
39,1048,0.18381680048346713,0
40,1133,0.14375383800787028,0
41,1285,0.15772274415891444,0
42,1508,0.21076097711812009,0
43,1390,0.19832057971050518,0
44,1142,0.11551697095175362,0
45,1285,0.13244279073925092,0
46,1274,0.13392529418937868,1
47,746,0.16447334368530023,0
48,764,0.20406400869363836,0
49,1156,0.2038109842135266,1
50,740,0.25693445068445075,0
51,948,0.23250353628672216,3
52,883,0.18997289361872696,0
